iter	RMSE
0	12.97577114
1	12.22833005
2	11.64975237
3	11.08232514
4	10.63856477
5	10.20490088
6	9.893190862
7	9.581539568
8	9.298634985
9	9.107843823
10	8.948602166
11	8.742365523
12	8.586786167
13	8.483239325
14	8.345507297
15	8.215008462
16	8.145520451
17	8.059947422
18	7.988016735
19	7.896024481
20	7.836311342
21	7.778877683
22	7.713157253
23	7.670147537
24	7.621755585
25	7.584320138
26	7.520029557
27	7.475718935
28	7.403227588
29	7.373181127
30	7.33918678
31	7.301900195
32	7.274082471
33	7.242220056
34	7.179003187
35	7.143524466
36	7.104158224
37	7.072158799
38	7.038984077
39	6.990571156
40	6.97358255
41	6.949255502
42	6.933016273
43	6.91778802
44	6.894110616
45	6.858435997
46	6.84286386
47	6.827577657
48	6.785237794
49	6.75388476
50	6.726929985
51	6.688709792
52	6.67538646
53	6.658625199
54	6.633027217
55	6.613923699
56	6.592097048
57	6.57339868
58	6.561013134
59	6.542406776
60	6.515579534
61	6.500789423
62	6.477805093
63	6.465991032
64	6.448013782
65	6.425052121
66	6.400267353
67	6.384362037
68	6.35370256
69	6.326884002
70	6.309634334
71	6.284939065
72	6.264592115
73	6.237522596
74	6.216003575
75	6.189830912
76	6.170533321
77	6.145852817
78	6.137286073
79	6.118867978
80	6.096277277
81	6.077428834
82	6.059162039
83	6.038768021
84	6.009498203
85	5.980992632
86	5.953001106
87	5.935793978
88	5.922209588
89	5.904859354
90	5.901268169
91	5.88631066
92	5.876535208
93	5.863784946
94	5.838774578
95	5.818699895
96	5.809168451
97	5.796898744
98	5.784019155
99	5.771978946
100	5.769366614
101	5.753499459
102	5.74242011
103	5.731293065
104	5.718914356
105	5.705148561
106	5.677571503
107	5.658427868
108	5.649437967
109	5.644598007
110	5.632364469
111	5.617101927
112	5.607232509
113	5.587728764
114	5.57741495
115	5.545818238
116	5.532045758
117	5.512694882
118	5.497833835
119	5.481868055
120	5.472538552
121	5.462746446
122	5.457490434
123	5.445241216
124	5.427502228
125	5.412186637
126	5.400586555
127	5.387780149
128	5.38131748
129	5.367582091
130	5.353722016
131	5.340509179
132	5.327681217
133	5.315656568
134	5.302290613
135	5.293307283
136	5.292094504
137	5.279024755
138	5.265550278
139	5.264658716
140	5.251842236
141	5.243954511
142	5.235527854
143	5.220495949
144	5.208678345
145	5.207851441
146	5.207064007
147	5.194702733
148	5.178559622
149	5.160210423
150	5.148032309
151	5.147294731
152	5.126791713
153	5.111523487
154	5.106257736
155	5.100902333
156	5.097954734
157	5.097285523
158	5.087985021
159	5.067601207
160	5.04837918
161	5.039402128
162	5.028601972
163	5.017303225
164	5.004847067
165	4.993968625
166	4.979240362
167	4.969104539
168	4.965243186
169	4.956341361
170	4.948347493
171	4.939423798
172	4.934583552
173	4.924876169
174	4.915276626
175	4.899301999
176	4.892916589
177	4.868468613
178	4.86196539
179	4.854233212
180	4.847959656
181	4.837153199
182	4.829153185
183	4.816459538
184	4.804377663
185	4.798199805
186	4.788925579
187	4.777073159
188	4.766253901
189	4.748078966
190	4.739947022
191	4.730602756
192	4.72036858
193	4.710020532
194	4.702752586
195	4.69145236
196	4.678867102
197	4.678120742
198	4.665962466
199	4.654376676
200	4.646195566
201	4.638926385
202	4.630510675
203	4.628320146
204	4.623099716
205	4.61689946
206	4.609391677
207	4.606013347
208	4.588401695
209	4.578894034
210	4.56811792
211	4.559017873
212	4.549583387
213	4.540109013
214	4.532871158
215	4.528926302
216	4.51424551
217	4.511311757
218	4.499806575
219	4.493588185
220	4.492520555
221	4.485932913
222	4.472303461
223	4.469108976
224	4.46183042
225	4.452778788
226	4.441886678
227	4.432739023
228	4.41961471
229	4.419058981
230	4.406730954
231	4.396978069
232	4.393898018
233	4.385869172
234	4.382611011
235	4.370624345
236	4.359660703
237	4.348681441
238	4.341649577
239	4.334648582
240	4.327043277
241	4.318967854
242	4.312936539
243	4.304635902
244	4.298194656
245	4.277857715
246	4.263705014
247	4.261101635
248	4.257025669
