iter	Passed	Remaining
0	4	1026
1	7	956
2	11	910
3	14	882
4	19	927
5	22	920
6	27	948
7	32	970
8	36	968
9	39	952
10	43	940
11	47	935
12	51	929
13	54	916
14	58	905
15	61	901
16	65	898
17	69	892
18	73	891
19	77	892
20	83	902
21	87	901
22	90	889
23	93	879
24	96	866
25	99	853
26	102	842
27	105	831
28	108	820
29	111	811
30	114	801
31	116	793
32	120	787
33	123	780
34	126	776
35	130	771
36	133	765
37	136	760
38	140	753
39	143	747
40	145	740
41	148	733
42	151	727
43	154	720
44	157	714
45	160	708
46	164	707
47	167	700
48	170	694
49	173	688
50	176	683
51	179	678
52	181	672
53	184	666
54	187	660
55	190	654
56	192	649
57	195	644
58	198	639
59	201	634
60	204	629
61	207	624
62	209	619
63	212	614
64	215	609
65	218	604
66	220	600
67	223	595
68	226	590
69	229	586
70	231	581
71	234	577
72	237	572
73	240	568
74	242	563
75	245	559
76	248	555
77	251	551
78	253	546
79	256	542
80	259	537
81	261	532
82	263	527
83	266	522
84	268	518
85	271	514
86	273	509
87	276	505
88	278	501
89	281	498
90	284	493
91	286	489
92	289	485
93	291	481
94	294	477
95	296	472
96	299	468
97	301	464
98	303	460
99	306	456
100	308	451
101	310	447
102	313	443
103	315	440
104	318	436
105	320	432
106	323	428
107	325	424
108	328	421
109	330	417
110	332	413
111	335	410
112	337	406
113	340	402
114	342	399
115	345	395
116	347	392
117	350	389
118	353	386
119	355	382
120	358	379
121	360	375
122	363	372
123	365	368
124	368	365
125	370	361
126	373	358
127	375	355
128	378	351
129	380	348
130	382	344
131	385	341
132	387	338
133	390	334
134	392	331
135	395	328
136	397	325
137	400	322
138	402	318
139	405	315
140	407	312
141	410	309
142	413	306
143	415	302
144	418	299
145	420	296
146	422	293
147	425	290
148	427	287
149	430	284
150	432	280
151	435	277
152	437	274
153	440	271
154	442	268
155	444	265
156	446	261
157	449	258
158	451	255
159	454	252
160	456	249
161	459	246
162	461	243
163	464	240
164	466	237
165	469	234
166	472	231
167	474	228
168	477	225
169	479	222
170	481	219
171	484	216
172	486	213
173	489	210
174	491	207
175	494	204
176	496	201
177	498	198
178	501	196
179	504	193
180	507	190
181	509	187
182	512	184
183	514	181
184	517	179
185	519	176
186	522	173
187	524	170
188	527	167
189	530	164
190	532	161
191	535	158
192	538	156
193	540	153
194	543	150
195	546	147
196	548	144
197	551	142
198	554	139
199	556	136
200	559	133
201	562	130
202	565	128
203	567	125
204	570	122
205	573	119
206	575	116
207	578	114
208	581	111
209	584	108
210	586	105
211	589	102
212	592	100
213	595	97
214	597	94
215	600	91
216	603	88
217	606	86
218	608	83
219	611	80
220	613	77
221	616	74
222	619	72
223	622	69
224	624	66
225	627	63
226	630	61
227	633	58
228	636	55
229	638	52
230	641	49
231	644	47
232	647	44
233	650	41
234	652	38
235	655	36
236	658	33
237	661	30
238	664	27
239	667	25
240	670	22
241	673	19
242	677	16
243	680	13
244	683	11
245	686	8
246	689	5
247	691	2
248	694	0
